Employee No,Employee Name,Gender,Leaving Reason,Previous Employer,Latest  Available Rating,Profit Center,Employee Location,People Group,Employee Category,Supervisor name,Month of termination,Tenure_till_18,Tenure_till_18_in_months,Tenure_till_18_in_years,Age_16_18,Current Status16_18,Is promoted,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Utilization Status,Utilization%-Mean
1,Rochette Jilleen,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,SVP/VP,Idalina Lauraine,Unknown,17.497963681663553,209.97556417996265,17.0,0.0,Active,Yes,4168.0,3666.5,1084.0,404.0,97.5,2623.5,74.0,29.661003580837004,Below Avg,29.661003580837004
2,Daryl Natalina,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,SVP/VP,Idalina Lauraine,Unknown,18.834062301073946,226.00874761288736,19.0,0.0,Active,No,4168.0,3750.0,1277.5,364.0,54.0,1294.5,1330.5,34.08371771795006,Below Avg,34.08371771795006
3,Annnora Gabrielle,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,SVP/VP,Idalina Lauraine,Unknown,17.161201119803966,205.9344134376476,17.0,0.0,Active,No,4168.0,3618.5,2177.5,482.0,67.5,970.5,907.0,60.553933337824844,Above Avg,60.553933337824844
4,Barbee Joey,M,Career Growth,kadoo,Unknown,PC - 3,Location 1,Client Service Staff,Awaiting Termination,Idalina Lauraine,2,17.41308856444691,208.9570627733629,17.0,43.0,Resigned,No,3928.0,3491.5,546.0,404.0,32.5,2743.0,279.0,15.695026173484486,Low,15.695026173484486
5,Idalina Lauraine,Unknown,Unknown,Unknown,Unknown,PC - 4,Location 3,Client Service Staff,Level 1/2,Abagail Druci,Unknown,18.75192509086429,225.02310109037148,19.0,0.0,Active,No,1312.0,1205.0,149.0,104.0,3.0,1159.0,818.0,12.365145228215768,Low,12.365145228215768
6,Jordanna Danya,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,SVP/VP,Idalina Lauraine,Unknown,15.751179011204885,189.01414813445862,16.0,0.0,Active,No,4168.0,3635.0,899.0,520.0,13.0,2657.0,731.0,24.728421118913467,Low,24.728421118913467
7,Irene Candis,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,Unknown,13.664893871879642,163.9787264625557,14.0,0.0,Active,No,4168.0,3481.0,645.0,582.0,105.0,2507.0,407.0,18.534109965272734,Low,18.534109965272734
8,Kakalina Lorry,F,Career Growth,cynoid,3.0,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Tallia Eyde,1,12.504021300916515,150.04825561099818,13.0,37.0,Resigned,No,1744.0,1528.0,97.0,216.0,0.0,1264.0,192.0,6.348167539267016,Low,6.348167539267016
9,Marleah Bernadina,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Confirmed Staff,Annnora Gabrielle,Unknown,13.497881544453342,161.9745785334401,13.0,0.0,Active,No,4168.0,3604.0,796.6800000000001,560.0,14.0,2465.5,352.0,22.139553934944225,Low,22.139553934944225
10,Guenevere Florida,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,Unknown,13.413006427236699,160.9560771268404,13.0,0.0,Active,Yes,4168.0,3772.0,554.0,388.0,8.0,2522.0,700.0,14.698733522292706,Low,14.698733522292706
11,Aili Nessy,M,Career Growth,Unknown,2.0,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Cacilia Aimee,1,12.169996646063916,146.039959752767,12.0,35.0,Resigned,No,1616.0,1528.0,720.0,88.0,0.0,0.0,888.0,47.12041884816754,Below Avg,47.12041884816754
